cusip,duration,yield,base_coupon,price,ytm,ytw,moodys_rating,sp_rating,fitch_rating,trade_rating,price_to_par,coupon_yield_spread,ytm_ytw_spread,moodys_numeric,sp_numeric,fitch_numeric,is_investment_grade
N098QOW36,15.62,7.7,4.72,100.37,7.58,7.71,AA+,A-,A+,5.8,1.0037,-2.9800000000000004,0.1299999999999999,20,15,17,True
138LKPPF7,9.11,5.09,3.95,85.04,3.79,4.27,AA-,A+,AA+,10.0,0.8504,-1.1399999999999997,0.47999999999999954,18,17,20,True
LT0TPC5Y5,7.74,6.37,2.18,76.75,6.41,6.41,A+,AAA,A+,8.6,0.7675,-4.1899999999999995,0.0,17,21,17,True
3DCC91G46,9.02,9.33,6.89,81.46,8.82,8.97,A+,AAA,BBB+,6.2,0.8146,-2.4400000000000004,0.15000000000000036,17,21,14,True
2AMVD62N4,18.38,4.87,2.56,68.84,4.21,4.47,BBB,A,BBB+,5.7,0.6884,-2.31,0.2599999999999998,13,16,14,True
ZUVDGU5C4,13.59,7.25,6.76,81.74,7.64,7.68,AA-,AA,A+,6.3,0.8173999999999999,-0.4900000000000002,0.040000000000000036,18,19,17,True
PO2MJ8G98,14.33,5.21,4.23,101.19,5.73,6.21,A-,AA+,AA-,7.3,1.0119,-0.9799999999999995,0.47999999999999954,15,20,18,True
7BR2TSE29,5.73,8.93,7.2,87.23,9.52,9.52,A,BBB+,A+,4.4,0.8723000000000001,-1.7299999999999995,0.0,16,14,17,True
VBNEWG988,14.6,6.25,3.71,102.67,6.23,6.9,A+,AA-,AAA,5.9,1.0267,-2.54,0.6699999999999999,17,18,21,True
JQFLDZ4H0,5.99,10.44,7.08,83.41,10.17,10.17,A-,AA,AA+,5.5,0.8341,-3.3599999999999994,0.0,15,19,20,True
U55OLDLG4,8.13,7.37,4.0,86.42,7.1,7.46,BBB+,A+,A-,3.8,0.8642,-3.37,0.3600000000000003,14,17,15,True
YU0POJ9N1,10.44,7.96,6.35,88.25,8.6,8.71,BBB+,AAA,A+,4.7,0.8825,-1.6100000000000003,0.11000000000000121,14,21,17,True
A50PPYRI1,6.0,5.64,4.16,84.55,5.56,5.89,A+,A,AA-,8.5,0.8454999999999999,-1.4799999999999995,0.33000000000000007,17,16,18,True
VANL5RJS8,12.07,2.04,1.65,88.12,2.1,2.17,A+,AAA,AA-,6.9,0.8812000000000001,-0.3900000000000001,0.06999999999999984,17,21,18,True
XLH4DZT83,11.07,7.55,5.6,78.57,8.12,8.55,AA,A,AA-,6.1,0.7857,-1.9500000000000002,0.4300000000000015,19,16,18,True
